country,cnt,var,year,War flag,Attribute,Value
Argentina,ARG,VA,1990,0,Agriculture,8316.565679
Argentina,ARG,VA,1990,0,Mining,2709.651993
Argentina,ARG,VA,1990,0,Manufacturing,43778.89769
Argentina,ARG,VA,1990,0,Utilities,4174.590348
Argentina,ARG,VA,1990,0,Construction,6444.100172
Argentina,ARG,VA,1990,0,Trade services,19509.68985
Argentina,ARG,VA,1990,0,Transport services,5723.031693
Argentina,ARG,VA,1990,0,Business services,7537.730705
Argentina,ARG,VA,1990,0,Financial services,3118.391034
Argentina,ARG,VA,1990,0,Real estate,3746.63171
Argentina,ARG,VA,1990,0,Government services,11014.62361
Argentina,ARG,VA,1990,0,Other services,4417.405686
Argentina,ARG,VA,1990,0,Total GDP,120491.3102
Argentina,ARG,VA_Q15,1990,0,Agriculture,302391.3977
Argentina,ARG,VA_Q15,1990,0,Mining,179963.866
Argentina,ARG,VA_Q15,1990,0,Manufacturing,1372371.713
Argentina,ARG,VA_Q15,1990,0,Utilities,47078.29972
Argentina,ARG,VA_Q15,1990,0,Construction,188191.7806
Argentina,ARG,VA_Q15,1990,0,Trade services,654200.4257
Argentina,ARG,VA_Q15,1990,0,Transport services,165402.5272
Argentina,ARG,VA_Q15,1990,0,Business services,293376.4695
Argentina,ARG,VA_Q15,1990,0,Financial services,126231.1629
Argentina,ARG,VA_Q15,1990,0,Real estate,109689.7015
Argentina,ARG,VA_Q15,1990,0,Government services,701225.3152
Argentina,ARG,VA_Q15,1990,0,Other services,183109.6579
Argentina,ARG,VA_Q15,1990,0,Total GDP,4323232.317
Argentina,ARG,EMP,1990,0,Agriculture,1247.640336
Argentina,ARG,EMP,1990,0,Mining,25.29593605
Argentina,ARG,EMP,1990,0,Manufacturing,2031.53584
Argentina,ARG,EMP,1990,0,Utilities,189.0995858
Argentina,ARG,EMP,1990,0,Construction,789.485925
Argentina,ARG,EMP,1990,0,Trade services,2203.297089
Argentina,ARG,EMP,1990,0,Transport services,685.5626271
Argentina,ARG,EMP,1990,0,Business services,698.0767489
Argentina,ARG,EMP,1990,0,Financial services,98.97867088
Argentina,ARG,EMP,1990,0,Real estate,51.32223417
Argentina,ARG,EMP,1990,0,Government services,2430.737
Argentina,ARG,EMP,1990,0,Other services,1360.447898
Argentina,ARG,EMP,1990,0,Total GDP,11811.47989
Bangladesh,BGD,VA,1990,0,Agriculture,328426.4129
Bangladesh,BGD,VA,1990,0,Mining,11949.0277
Bangladesh,BGD,VA,1990,0,Manufacturing,133527.0725
Bangladesh,BGD,VA,1990,0,Utilities,17928.81582
Bangladesh,BGD,VA,1990,0,Construction,48632.67816
Bangladesh,BGD,VA,1990,0,Trade services,133817.6876
Bangladesh,BGD,VA,1990,0,Transport services,81756.86782
Bangladesh,BGD,VA,1990,0,Business services,40852.551
Bangladesh,BGD,VA,1990,0,Financial services,22767.60217
Bangladesh,BGD,VA,1990,0,Real estate,55598.01453
Bangladesh,BGD,VA,1990,0,Government services,72851.79208
Bangladesh,BGD,VA,1990,0,Other services,116818.3126
Bangladesh,BGD,VA,1990,0,Total GDP,1064926.835
Bangladesh,BGD,VA_Q15,1990,0,Agriculture,978628.2261
Bangladesh,BGD,VA_Q15,1990,0,Mining,35539.14325
Bangladesh,BGD,VA_Q15,1990,0,Manufacturing,386548.3975
Bangladesh,BGD,VA_Q15,1990,0,Utilities,32545.52551
Bangladesh,BGD,VA_Q15,1990,0,Construction,167755.9566
Bangladesh,BGD,VA_Q15,1990,0,Trade services,486560.5567
Bangladesh,BGD,VA_Q15,1990,0,Transport services,444703.3173
Bangladesh,BGD,VA_Q15,1990,0,Business services,128543.806
Bangladesh,BGD,VA_Q15,1990,0,Financial services,113990.4596
Bangladesh,BGD,VA_Q15,1990,0,Real estate,273336.1782
Bangladesh,BGD,VA_Q15,1990,0,Government services,220931.123
Bangladesh,BGD,VA_Q15,1990,0,Other services,648023.7802
Bangladesh,BGD,VA_Q15,1990,0,Total GDP,3917106.47
Bangladesh,BGD,EMP,1990,0,Agriculture,26836.21277
Bangladesh,BGD,EMP,1990,0,Mining,29.77176857
Bangladesh,BGD,EMP,1990,0,Manufacturing,5238.178394
Bangladesh,BGD,EMP,1990,0,Utilities,21.24801958
Bangladesh,BGD,EMP,1990,0,Construction,480.0034767
Bangladesh,BGD,EMP,1990,0,Trade services,3427.791839
Bangladesh,BGD,EMP,1990,0,Transport services,1128.524164
Bangladesh,BGD,EMP,1990,0,Business services,102.1286404
Bangladesh,BGD,EMP,1990,0,Financial services,147.0694934
Bangladesh,BGD,EMP,1990,0,Real estate,7.718029837
Bangladesh,BGD,EMP,1990,0,Government services,1507.919596
Bangladesh,BGD,EMP,1990,0,Other services,1889.111883
Bangladesh,BGD,EMP,1990,0,Total GDP,40815.67807
Bolivia,BOL,VA,1990,0,Agriculture,2371.077205
Bolivia,BOL,VA,1990,0,Mining,1581.912654
Bolivia,BOL,VA,1990,0,Manufacturing,2619.623205
Bolivia,BOL,VA,1990,0,Utilities,248.4167964
Bolivia,BOL,VA,1990,0,Construction,474.0222353
Bolivia,BOL,VA,1990,0,Trade services,1874.961154
Bolivia,BOL,VA,1990,0,Transport services,1261.947498
Bolivia,BOL,VA,1990,0,Business services,570.1405808
Bolivia,BOL,VA,1990,0,Financial services,262.082
Bolivia,BOL,VA,1990,0,Real estate,914.2883497
Bolivia,BOL,VA,1990,0,Government services,1552.659
Bolivia,BOL,VA,1990,0,Other services,685.3361237
Bolivia,BOL,VA,1990,0,Total GDP,14416.4668
Bolivia,BOL,VA_Q15,1990,0,Agriculture,10955.02159
Bolivia,BOL,VA_Q15,1990,0,Mining,7231.094421
Bolivia,BOL,VA_Q15,1990,0,Manufacturing,8841.064114
Bolivia,BOL,VA_Q15,1990,0,Utilities,1301.594072
Bolivia,BOL,VA_Q15,1990,0,Construction,1927.518084
Bolivia,BOL,VA_Q15,1990,0,Trade services,8718.010858
Bolivia,BOL,VA_Q15,1990,0,Transport services,6010.887159
Bolivia,BOL,VA_Q15,1990,0,Business services,1700.006116
