country,cnt,var,year,War flag,Attribute,Value,Image
Argentina,ARG,VA,1990,0,Agriculture,8316.565679,#FIELD!
Argentina,ARG,VA,1990,0,Mining,2709.651993,#FIELD!
Argentina,ARG,VA,1990,0,Manufacturing,43778.89769,#FIELD!
Argentina,ARG,VA,1990,0,Utilities,4174.590348,#FIELD!
Argentina,ARG,VA,1990,0,Construction,6444.100172,#FIELD!
Argentina,ARG,VA,1990,0,Trade services,19509.68985,#FIELD!
Argentina,ARG,VA,1990,0,Transport services,5723.031693,#FIELD!
Argentina,ARG,VA,1990,0,Business services,7537.730705,#FIELD!
Argentina,ARG,VA,1990,0,Financial services,3118.391034,#FIELD!
Argentina,ARG,VA,1990,0,Real estate,3746.63171,#FIELD!
Argentina,ARG,VA,1990,0,Government services,11014.62361,#FIELD!
Argentina,ARG,VA,1990,0,Other services,4417.405686,#FIELD!
Argentina,ARG,VA,1990,0,Total GDP,120491.3102,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Agriculture,302391.3977,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Mining,179963.866,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Manufacturing,1372371.713,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Utilities,47078.29972,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Construction,188191.7806,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Trade services,654200.4257,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Transport services,165402.5272,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Business services,293376.4695,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Financial services,126231.1629,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Real estate,109689.7015,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Government services,701225.3152,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Other services,183109.6579,#FIELD!
Argentina,ARG,VA_Q15,1990,0,Total GDP,4323232.317,#FIELD!
Argentina,ARG,EMP,1990,0,Agriculture,1247.640336,#FIELD!
Argentina,ARG,EMP,1990,0,Mining,25.29593605,#FIELD!
Argentina,ARG,EMP,1990,0,Manufacturing,2031.53584,#FIELD!
Argentina,ARG,EMP,1990,0,Utilities,189.0995858,#FIELD!
Argentina,ARG,EMP,1990,0,Construction,789.485925,#FIELD!
Argentina,ARG,EMP,1990,0,Trade services,2203.297089,#FIELD!
Argentina,ARG,EMP,1990,0,Transport services,685.5626271,#FIELD!
Argentina,ARG,EMP,1990,0,Business services,698.0767489,#FIELD!
Argentina,ARG,EMP,1990,0,Financial services,98.97867088,#FIELD!
Argentina,ARG,EMP,1990,0,Real estate,51.32223417,#FIELD!
Argentina,ARG,EMP,1990,0,Government services,2430.737,#FIELD!
Argentina,ARG,EMP,1990,0,Other services,1360.447898,#FIELD!
